artifact_type,source_queue,queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,current_value,proposed_value,proposed_action,decision_status,reviewer_role,reviewer_name,review_date,owner_escalation_required,production_impact,stop_condition,notes
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,139_Guide_Guide_to_Document_Sharing_for_Staff_Foster_Parents_Advocates.pdf,f9833ac3bd4421e7e9a7fb9049e2ed4fe30ba9e9c91358c04f6ddcb7f21baf43,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/139_Guide_Guide_to_Document_Sharing_for_Staff_Foster_Parents_Advocates.pdf,bb-exp-43e740677ef32b8fe003e6c0,f834e077-3ba2-5cb9-b1a5-94f198b81b24,4c741fcc-4b87-564a-9aad-212fcf5d9d59,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Guide Guide to Document Sharing for Staff Foster Parents Advocates,,Document header (application/authority/dates),,Ch09_Child_Records,guide,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,139_Guide_Guide_to_Document_Sharing_for_Staff_Foster_Parents_Advocates.pdf,f9833ac3bd4421e7e9a7fb9049e2ed4fe30ba9e9c91358c04f6ddcb7f21baf43,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/139_Guide_Guide_to_Document_Sharing_for_Staff_Foster_Parents_Advocates.pdf,bb-exp-21aa88d0b26cad6f91e52e82,f834e077-3ba2-5cb9-b1a5-94f198b81b24,4c741fcc-4b87-564a-9aad-212fcf5d9d59,,,Guide Guide to Document Sharing for Staff Foster Parents Advocates,,,,Ch09_Child_Records,guide,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-908867d010c6ee5c3f87f3c1,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,Document header (application/authority/dates),,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-8adc451594a18e81b3dc9f78,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,A. Physical Abuse,aphysicalabuse,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,A. Physical Abuse,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-10d08d3d9ab0de8de5c6b5ec,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,B. Drug Exposure,bdrugexposure,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,B. Drug Exposure,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-e780bb13abb483d2e660471a,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,C. Neglect,cneglect,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,C. Neglect,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-4d8831aeeb1a7ecc7e58beac,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,D. Sexual Harassment,dsexualharassment,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,D. Sexual Harassment,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-7def83ba813ba44e51860296,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,E. Sexual Abuse Category,esexualabusecategory,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,E. Sexual Abuse Category,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-46264608112b6bd432b8ddc8,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,F. Psychological Harm,fpsychologicalharm,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,F. Psychological Harm,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-ff5e78fecec3afcd3453aebe,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,G. Domestic Violence,gdomesticviolence,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,G. Domestic Violence,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bba3ed1e7f92ff076d9b14b187e0f2b55808c20ee40e3024873c1d7c2ee558ad,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/176_Protocol_Protocol_for_CPS_Categories_and_Definitions_of_Abuse_Neglect.pdf,bb-exp-8727daa3cacbb8d3c8e5b1a3,766549fe-eb14-5bc7-93f5-395282d6126c,04682f55-0550-59e7-8e37-e9c4a6dca3d6,H. Child Death/Near Death,hchilddeathneardeath,Protocol Protocol for CPS Categories and Definitions of Abuse Neglect,,H. Child Death/Near Death,,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=dependency and neglect|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-a5956d95896d065547335552,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Work Aid 2 Work Aid 2 Child Abuse Hotline,,Document header (application/authority/dates),,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-1b7bd356221c6e0a72d6cafa,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,A. Information to Provide to a,ainformationtoprovidetoa,Work Aid 2 Work Aid 2 Child Abuse Hotline,,A. Information to Provide to a,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-3c6cb768209c49e5e0ca5bd1,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,B. Information to be Collected,binformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,B. Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-b995389c9939c311e1c9738a,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,C. Information to be Collected,cinformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,C. Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-8a9b79fb99ab3a651ad9b14c,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,D. Information to be,dinformationtobe,Work Aid 2 Work Aid 2 Child Abuse Hotline,,D. Information to be,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-bc1d26d7f9cbe2946fe6dd4d,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,E.  Information to be Collected,einformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,E.  Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-5ba5bd58328f772d9e8ae37c,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,F.  Information to be Collected,finformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,F.  Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-e88bb4aaf6cd429e722c1f06,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,G. Information to be Collected,ginformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,G. Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,fadcda37329d69718524fbaec658680d323c6f6238b503ad3b23146ea54364cc,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/178_Work_Aid_2_Work_Aid_2_Child_Abuse_Hotline.pdf,bb-exp-5f052099b82ce0cb251a5105,0249ba51-d277-5f95-b490-3c7e471d28bf,67f9229c-3e39-5ab5-8ec6-d7163883f014,H.  Information to be Collected,hinformationtobecollected,Work Aid 2 Work Aid 2 Child Abuse Hotline,,H.  Information to be Collected,,Ch14_CPS,work_aid,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
dcs_document_anchored_mapping,dcs_document_anchored_summary.csv,dcs_document_anchored,Medium,dcs_policy,dcs_policies_procedures,179_Protocol_Protocol_for_Child_Abuse_Hotline_Tasks_and_Responsibilities.pdf,841322ec74d3d27623c90b15d0205ea1a9c07af7e6e21070b23635ccf5a78f3f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/179_Protocol_Protocol_for_Child_Abuse_Hotline_Tasks_and_Responsibilities.pdf,bb-exp-be0092659e00cba95d3ee1c9,602d96fa-5b8b-568a-8ffe-6a1826d5b388,cda6ac2e-eeb2-558c-ac6b-4897753cfaf4,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Protocol Protocol for Child Abuse Hotline Tasks and Responsibilities,,Document header (application/authority/dates),,Ch14_CPS,protocol,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,DCS document anchored; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_guardrail_reference_only_pending_mapping,manual_dcs_mapping_or_keep_guardrail_only,guardrail_reference_only_pending_mapping,Corpus administrator,,,false,production_answer_authority_prohibited,"No promotion without reliable DCS policy identity, source currency verification, and owner approval",manual mapping required before any higher authority status; E14-B candidate only from dcs_document_anchored_summary.csv; no corpus change applied
